step,t,label,index,x,Cf,H12,dstar,theta,delta99,Ue
400,0.10000000000000001,xt,33,0.04546916890080429,0.0024492091013752033,2.5915673375309067,0.0046652406250431832,0.0018001618393168786,0.013311159525990199,0.99999753716803319
500,0.125,x=0.25,177,0.25008042895442362,0.0021666871666431594,2.5913817501474332,0.0052750864366773349,0.0020356269146285435,0.015052431294468965,0.99997175734312582
500,0.125,x=0.50,353,0.50016085790884723,0.0019265437912397792,2.5913140651714128,0.0059355310260736831,0.0022905486856457337,0.016937200177959098,0.99998346957810014
500,0.125,x=0.75,529,0.75024128686327074,0.0017520535380760507,2.5912749015569707,0.0065295424298280301,0.0025198184977999619,0.018631955108309731,0.99999067648580076
500,0.125,x=1.00,705,1.0003217158176945,0.0016178046125545488,2.5912526568813394,0.0070738686785827738,0.0027299031068226342,0.020184945665694044,0.99999320574614736
500,0.125,x=1.20,846,1.2006702412868633,0.0015301097984000925,2.5912335276190439,0.0074814400217118803,0.0028872118016264651,0.021347825529987961,0.99999520846619017
500,0.125,x_safe,979,1.389651474530831,0.0014591928445222427,2.5912197321568708,0.0078465642622074783,0.0030281354239596581,0.022388934439358417,0.99999568113616732
500,0.125,xt,33,0.04546916890080429,0.0024494706856668649,2.5915638465317228,0.0046652595612375345,0.001800171571107935,0.013311277683492835,0.99999756463428169
600,0.14999999999999999,x=0.25,177,0.25008042895442362,0.0021652618802299487,2.5913766634666926,0.0052751866686040231,0.0020356695894401481,0.015052854998348266,0.99996481174016716
600,0.14999999999999999,x=0.50,353,0.50016085790884723,0.0019237329679711458,2.5913306830709537,0.0059356106589994176,0.0022905647271405745,0.016937455738984135,0.99997552027239567
600,0.14999999999999999,x=0.75,529,0.75024128686327074,0.0017481487296895891,2.5912966541277207,0.0065296054620223379,0.0025198216698274272,0.018632131527128604,0.99998564037329729
