job_id,node,gpu_name,gpu_uuid,cuda_runtime,driver_version,julia_version,source_commit,numerical_fingerprint,case,Nx,Ny,Nz,total_nodes,pressure_unknowns,gmg_levels,measured_step,step_time_s,poisson_time_s,poisson_fraction,bicgstab_iterations,div_post,cfl,diffusion_metric,gpu_total_bytes,gpu_used_bytes,gpu_free_bytes,gpu_pool_bytes,host_rss_bytes
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,22,0.044850310000000004,0.03612208366394043,0.80539206226089466,6,2.2604103783632939e-10,0.022572973984777853,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,23,0.044765109000000004,0.036014080047607422,0.80451228316248302,6,4.6065524020605269e-10,0.022573021984613851,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,24,0.044772759000000002,0.036030054092407227,0.80473160236578734,6,2.1899956918826868e-10,0.02257306943846115,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,25,0.044751051999999999,0.036013126373291016,0.80474368230027349,6,1.0908823783041942e-09,0.022573115992883665,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,26,0.050826900000000001,0.042094945907592773,0.82820211162972313,7,2.5783369482425601e-10,0.022573161304877482,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,27,0.050733838000000003,0.041992902755737305,0.82770995475913534,7,9.5076462819871046e-11,0.022573205044509596,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,28,0.050731851000000001,0.041988849639892578,0.82766248051727065,7,1.5967137432775546e-10,0.02257324689718726,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840975872
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,29,0.050858050000000002,0.042128086090087891,0.82834646806332313,7,1.1365244000592618e-10,0.022573286565985843,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840988160
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G1,140,128,15,268800,264795,4,30,0.068571399000000005,0.04221796989440918,0.61567899313836627,7,8.0624758030232956e-11,0.022573323773726988,0.0019636960198757174,85100068864,674234368,84425834496,167772160,1840988160
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G2,280,256,30,2150400,2134350,5,1,0.24740324100000002,0.18786215782165527,0.75933588041255795,7,3.8105181318824768e-11,0.04530859339277446,0.0079158580750932628,85100068864,1445986304,83654082560,939524096,1859469312
522679,a121,NVIDIA A100 80GB PCIe,d1e927df-97ab-aff6-f55d-06ae94c9b8f5,12.9.0,12.5.0,1.10.4,c242d0871ff6a2b91f3e74c8ffcb890252766205,9f9c0891bc1021e55844d1e23a2493846521ea924ca08701f4531b3cf2020c9e,G2,280,256,30,2150400,2134350,5,2,0.23020056100000003,0.17067599296569824,0.74142301054469728,6,5.5454190222403195e-10,0.045308593392774439,0.0079158580750932628,85100068864,1445986304,83654082560,939524096,1858338816
