station,index,x,xeff,Rex,Ue,y,eta,u_over_Ue,blasius_fp,residual
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0082209188660801562,2.6137152985337666,0.7750810946027763,0.77527618326358172,-0.00019508866080542031
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0083626588465298135,2.6587793554050383,0.78420736499290566,0.78439837939189727,-0.00019101439899160688
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0085043988269794726,2.7038434122763104,0.79310671074049599,0.79329360599844634,-0.000186895257950348
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0086461388074291299,2.7489074691475821,0.80177782706959877,0.80196056611816269,-0.00018273904856391798
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0087878787878787872,2.7939715260188538,0.81021972827493582,0.81039828164934335,-0.00017855337440753072
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0089296187683284463,2.8390355828901259,0.81843174969639942,0.81860609532942086,-0.00017434563302143324
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0090713587487781036,2.8840996397613976,0.8264135484507672,0.82658367146692213,-0.00017012301615493275
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0092130987292277609,2.9291636966326693,0.83416510291898882,0.83433099542798628,-0.00016589250899745611
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.00935483870967742,2.9742277535039419,0.84168671099537407,0.8418483700031395,-0.00016165900776543563
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0094965786901270773,3.0192918103752135,0.84897898711295205,0.84913641563726405,-0.00015742852431199772
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0096383186705767347,3.0643558672464852,0.85604285806709213,0.85619606796141823,-0.00015320989432610066
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.0097800586510263937,3.1094199241177574,0.8628795576671463,0.86302856693495089,-0.00014900926780458956
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.009921798631476051,3.154483980989029,0.86949062025329027,0.86963545282423138,-0.00014483257094111135
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.010063538611925708,3.1995480378603007,0.87587787312275078,0.87601855862367395,-0.00014068550092316556
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.010205278592375367,3.2446120947315729,0.88204342791634216,0.88218000143679354,-0.00013657352045137738
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.010347018572825025,3.2896761516028445,0.88798967102243331,0.88812217287456174,-0.00013250185212843046
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.010488758553274682,3.3347402084741162,0.89371925306115274,0.8938477285340295,-0.00012847547287675454
x030,212,0.29981233243967831,0.98924301343967835,98919.478711298842,0.99995124926227963,0.010630498533724339,3.3798042653453879,0.89923507751680976,0.89935957635993535,-0.00012449884312559778
